subject,tutorial,completion_time,experiment
1,A,746,4
2,B,592,4
3,A,612,4
4,A,396,4
5,B,804,4
6,B,519,4
7,B,664,4
8,B,678,4
9,A,715,4
10,B,175,4
11,A,497,4
12,B,361,4
13,A,614,4
14,B,507,4
15,A,522,4
16,A,575,4
17,B,621,4
18,A,344,4
19,A,900,4
20,A,344,4
21,A,744,4
22,B,366,4
23,B,599,4
24,B,630,4
25,B,1058,4
26,A,380,4
27,B,953,4
28,A,712,4
29,B,478,4
30,A,426,4
31,A,566,4
32,B,757,4
33,B,823,4
34,A,417,4
35,B,807,4
36,B,576,4
37,B,308,4
38,B,139,4
39,B,942,4
40,B,873,4
41,A,508,4
42,A,559,4
43,A,321,4
44,B,536,4
45,B,652,4
46,A,407,4
47,B,423,4
48,A,530,4
49,B,1027,4
50,A,562,4
51,B,722,4
52,A,891,4
53,B,884,4
54,A,476,4
55,B,300,4
56,B,820,4
57,B,703,4
58,B,496,4
59,A,595,4
60,B,307,4
61,A,446,4
62,B,337,4
63,A,324,4
64,A,533,4
65,A,524,4
66,A,142,4
67,B,216,4
68,B,449,4
69,B,550,4
70,A,812,4
71,A,534,4
72,A,547,4
73,A,712,4
74,A,692,4
75,B,735,4
76,B,646,4
77,A,565,4
78,B,499,4
79,B,634,4
80,A,481,4
81,A,734,4
82,B,806,4
83,B,443,4
84,B,727,4
85,A,563,4
86,B,773,4
87,B,862,4
88,A,1070,4
89,B,971,4
90,A,298,4
91,A,549,4
92,A,556,4
93,B,89,4
94,B,734,4
95,A,512,4
96,B,631,4
97,A,476,4
98,B,1017,4
99,A,682,4
100,B,484,4
101,B,933,4
102,B,551,4
103,A,354,4
104,A,437,4
105,B,510,4
106,A,785,4
107,B,724,4
108,A,520,4
109,B,473,4
110,A,320,4
111,B,629,4
112,B,1014,4
113,A,633,4
114,B,167,4
115,B,244,4
116,A,420,4
117,A,523,4
118,A,724,4
119,A,449,4
120,A,232,4
121,A,621,4
122,A,831,4
123,A,621,4
124,B,690,4
125,B,412,4
126,A,406,4
127,A,448,4
128,A,431,4
129,B,546,4
130,B,468,4
131,A,482,4
132,B,358,4
133,A,411,4
134,A,407,4
135,B,380,4
136,B,298,4
137,A,142,4
138,A,599,4
139,B,950,4
140,B,652,4
141,A,640,4
142,A,332,4
143,A,536,4
144,B,264,4
145,A,607,4
146,B,829,4
147,A,742,4
148,B,324,4
149,B,556,4
150,A,770,4
151,B,337,4
152,B,317,4
153,B,235,4
154,B,464,4
155,B,399,4
156,A,269,4
157,B,766,4
158,A,530,4
159,B,433,4
160,B,747,4
161,A,643,4
162,A,563,4
163,B,558,4
164,A,620,4
165,B,575,4
166,A,732,4
167,B,548,4
168,B,764,4
169,B,798,4
170,B,733,4
171,A,470,4
172,B,520,4
173,B,679,4
174,A,480,4
175,A,474,4
176,B,324,4
177,B,348,4
178,B,415,4
179,A,326,4
180,B,380,4
181,A,418,4
182,B,528,4
183,A,242,4
184,B,472,4
