subject,tutorial,completion_time,experiment
1,A,547,7
2,B,416,7
3,B,40,7
4,A,431,7
5,B,339,7
6,B,376,7
7,B,721,7
8,B,-137,7
9,A,574,7
10,B,140,7
11,B,610,7
12,A,302,7
13,A,18,7
14,B,857,7
15,A,-106,7
16,A,489,7
17,B,777,7
18,B,445,7
19,A,669,7
20,B,123,7
21,B,449,7
22,A,823,7
23,B,63,7
24,B,77,7
25,B,408,7
26,A,621,7
27,B,-217,7
28,A,249,7
29,A,196,7
30,A,273,7
31,A,367,7
32,A,54,7
33,B,1069,7
34,A,358,7
35,B,807,7
36,B,1012,7
37,B,348,7
38,B,1402,7
39,A,667,7
40,B,1030,7
41,B,492,7
42,B,892,7
43,B,314,7
44,A,906,7
45,A,839,7
46,B,351,7
47,A,888,7
48,B,426,7
49,A,522,7
50,B,470,7
51,B,370,7
52,A,238,7
53,A,503,7
54,B,1203,7
55,B,751,7
56,A,343,7
57,B,106,7
58,B,526,7
59,B,876,7
60,B,308,7
61,B,735,7
62,B,944,7
63,A,1075,7
64,B,899,7
65,A,566,7
66,A,520,7
67,A,310,7
68,A,442,7
69,B,133,7
70,A,536,7
71,B,487,7
72,B,1032,7
73,B,405,7
74,A,586,7
75,B,783,7
76,A,858,7
77,B,477,7
78,B,50,7
79,A,493,7
80,A,349,7
81,B,809,7
82,B,468,7
83,B,295,7
84,A,787,7
85,A,491,7
86,B,397,7
87,A,460,7
88,B,472,7
89,B,717,7
90,B,296,7
91,B,-116,7
92,B,1124,7
93,B,522,7
94,B,825,7
95,A,641,7
96,A,525,7
97,A,388,7
98,A,432,7
99,A,772,7
100,A,455,7
101,A,512,7
102,B,620,7
103,A,557,7
104,A,642,7
105,B,494,7
106,A,763,7
107,A,396,7
108,A,847,7
109,A,421,7
110,B,-35,7
111,A,771,7
112,A,1073,7
113,A,655,7
114,B,305,7
115,B,-165,7
116,B,769,7
117,B,1082,7
118,A,447,7
119,A,537,7
120,A,612,7
121,A,610,7
122,A,446,7
123,A,593,7
124,A,398,7
125,A,464,7
126,A,605,7
127,B,441,7
128,B,802,7
129,A,1139,7
130,A,741,7
131,B,346,7
132,A,268,7
133,A,880,7
134,A,725,7
135,B,680,7
136,B,421,7
137,B,1193,7
138,A,458,7
139,B,760,7
140,B,407,7
141,A,325,7
142,A,494,7
143,B,504,7
144,A,890,7
145,A,171,7
146,B,743,7
147,B,680,7
148,B,378,7
149,B,611,7
150,A,583,7
151,A,686,7
152,A,711,7
153,A,285,7
154,B,900,7
155,B,511,7
156,A,998,7
157,B,5,7
158,B,500,7
159,B,397,7
160,B,14,7
161,B,747,7
162,B,1385,7
163,A,523,7
164,B,442,7
165,A,291,7
166,B,350,7
167,B,500,7
168,A,433,7
169,A,644,7
170,A,503,7
171,B,436,7
172,A,559,7
173,A,740,7
174,A,334,7
175,B,625,7
176,B,878,7
177,B,389,7
178,B,254,7
179,A,768,7
180,A,689,7
181,B,441,7
182,B,1147,7
