subject,tutorial,completion_time,experiment
1,B,577,5
2,B,563,5
3,A,544,5
4,A,600,5
5,B,583,5
6,B,596,5
7,A,552,5
8,B,564,5
9,B,508,5
10,A,542,5
11,B,581,5
12,A,516,5
13,A,590,5
14,B,553,5
15,A,504,5
16,B,559,5
17,A,553,5
18,A,531,5
19,A,533,5
20,A,567,5
21,A,545,5
22,B,576,5
23,A,511,5
24,A,513,5
25,B,596,5
26,A,568,5
27,B,597,5
28,A,557,5
29,A,527,5
30,A,570,5
31,B,537,5
32,A,521,5
33,B,567,5
34,B,586,5
35,A,517,5
36,B,534,5
37,A,584,5
38,B,554,5
39,B,538,5
40,A,492,5
41,A,519,5
42,B,618,5
43,B,580,5
44,A,519,5
45,B,563,5
46,B,554,5
47,A,542,5
48,A,549,5
49,A,546,5
50,A,583,5
51,B,575,5
52,B,599,5
53,A,553,5
54,A,557,5
55,B,608,5
56,B,546,5
57,B,560,5
58,B,613,5
59,B,563,5
60,A,545,5
61,B,530,5
62,A,537,5
63,B,529,5
64,A,560,5
65,B,533,5
66,A,572,5
67,B,544,5
68,A,565,5
69,A,542,5
70,B,617,5
71,A,524,5
72,A,520,5
73,A,580,5
74,B,623,5
75,B,598,5
76,A,514,5
77,B,553,5
78,A,537,5
79,B,542,5
80,A,557,5
81,A,581,5
82,B,544,5
83,B,561,5
84,A,528,5
85,B,621,5
86,B,539,5
87,B,570,5
88,A,539,5
89,B,562,5
90,B,576,5
91,B,596,5
92,B,548,5
93,A,525,5
94,A,550,5
95,B,577,5
96,A,527,5
97,A,544,5
98,A,539,5
99,A,582,5
100,A,556,5
101,A,534,5
102,B,562,5
103,B,577,5
104,B,622,5
105,A,530,5
106,B,567,5
107,A,581,5
108,B,553,5
109,A,543,5
110,A,553,5
111,B,585,5
112,B,602,5
113,A,568,5
114,B,592,5
115,B,558,5
116,B,570,5
117,A,549,5
118,B,575,5
119,A,555,5
120,A,512,5
121,A,581,5
122,B,567,5
123,B,547,5
124,A,592,5
125,A,535,5
126,B,548,5
127,A,563,5
128,A,545,5
129,B,595,5
130,B,548,5
131,B,579,5
132,B,607,5
133,A,550,5
134,B,557,5
135,B,543,5
136,B,527,5
137,A,566,5
138,A,526,5
139,A,578,5
140,A,562,5
141,A,496,5
142,B,561,5
143,B,534,5
144,B,598,5
145,A,569,5
146,A,567,5
147,A,542,5
148,A,562,5
149,B,566,5
150,A,596,5
151,B,521,5
152,A,555,5
153,B,571,5
154,A,533,5
155,A,514,5
156,B,544,5
157,B,568,5
158,B,572,5
159,B,602,5
160,B,530,5
161,B,581,5
162,B,546,5
163,B,572,5
164,B,619,5
165,A,539,5
166,A,543,5
