subject,tutorial,completion_time,experiment
1,B,547,3
2,B,549,3
3,B,535,3
4,A,540,3
5,B,544,3
6,B,534,3
7,A,550,3
8,B,542,3
9,B,531,3
10,A,544,3
11,A,543,3
12,A,541,3
13,A,542,3
14,B,541,3
15,A,543,3
16,A,545,3
17,A,545,3
18,B,543,3
19,B,538,3
20,A,544,3
21,A,554,3
22,A,550,3
23,A,543,3
24,A,552,3
25,B,533,3
26,B,548,3
27,B,555,3
28,A,549,3
29,A,551,3
30,B,551,3
31,A,543,3
32,B,536,3
33,B,539,3
34,A,549,3
35,A,552,3
36,B,544,3
37,B,532,3
38,B,549,3
39,A,545,3
40,A,556,3
41,B,549,3
42,A,545,3
43,A,546,3
44,B,533,3
45,A,544,3
46,A,543,3
47,A,561,3
48,B,538,3
49,A,548,3
50,A,549,3
51,A,546,3
52,A,552,3
53,B,530,3
54,A,543,3
55,B,538,3
56,B,557,3
57,B,535,3
58,B,537,3
59,B,530,3
60,A,548,3
61,B,543,3
62,A,554,3
63,B,554,3
64,A,546,3
65,B,537,3
66,A,556,3
67,A,555,3
68,B,542,3
69,A,555,3
70,B,541,3
71,B,537,3
72,A,552,3
73,A,549,3
74,A,545,3
75,B,545,3
76,B,548,3
77,A,548,3
78,B,540,3
79,A,547,3
80,B,536,3
81,A,548,3
82,B,544,3
83,B,540,3
84,A,545,3
85,B,537,3
86,B,537,3
87,A,549,3
88,A,551,3
89,B,526,3
90,B,534,3
91,B,534,3
92,A,550,3
93,B,536,3
94,A,552,3
95,A,543,3
96,A,534,3
97,A,549,3
98,A,554,3
99,A,551,3
100,B,537,3
101,B,538,3
102,B,542,3
103,B,546,3
104,A,548,3
105,B,533,3
106,A,557,3
107,A,547,3
108,B,546,3
109,A,547,3
110,A,547,3
111,A,544,3
112,B,551,3
113,B,530,3
114,A,546,3
115,A,555,3
116,B,548,3
117,A,554,3
118,A,546,3
119,B,553,3
120,A,544,3
121,A,547,3
122,A,562,3
123,B,536,3
124,B,557,3
125,A,548,3
126,B,533,3
127,B,545,3
128,B,544,3
129,A,546,3
130,B,549,3
131,B,540,3
132,A,543,3
133,A,548,3
134,B,535,3
135,B,530,3
136,A,560,3
137,A,546,3
138,A,543,3
139,B,543,3
140,A,547,3
141,A,551,3
142,B,537,3
143,A,556,3
144,A,553,3
145,A,553,3
146,B,557,3
147,B,523,3
148,B,529,3
149,A,550,3
150,B,544,3
151,B,532,3
152,B,546,3
153,B,550,3
154,A,552,3
155,B,540,3
156,A,549,3
157,A,543,3
158,A,553,3
159,B,533,3
160,B,531,3
161,A,549,3
162,A,546,3
163,B,540,3
164,B,542,3
165,B,536,3
166,B,536,3
167,A,554,3
168,A,550,3
169,A,544,3
170,B,556,3
171,B,540,3
172,A,556,3
173,B,538,3
174,B,536,3
175,A,552,3
176,B,536,3
177,A,551,3
178,B,547,3
179,B,532,3
180,B,537,3
181,A,550,3
182,A,547,3
183,A,556,3
184,B,544,3
185,A,553,3
186,A,551,3
187,B,534,3
188,B,540,3
189,A,557,3
190,A,546,3
191,B,525,3
