subject,tutorial,completion_time,experiment
1,B,570,6
2,A,544,6
3,A,542,6
4,A,553,6
5,A,565,6
6,A,544,6
7,A,547,6
8,B,578,6
9,B,590,6
10,B,552,6
11,B,590,6
12,A,549,6
13,A,548,6
14,A,555,6
15,B,581,6
16,A,546,6
17,B,589,6
18,A,540,6
19,B,583,6
20,B,561,6
21,B,565,6
22,B,566,6
23,B,544,6
24,B,570,6
25,B,569,6
26,B,570,6
27,A,574,6
28,B,546,6
29,B,582,6
30,A,550,6
31,A,538,6
32,A,547,6
33,A,558,6
34,B,585,6
35,A,558,6
36,A,540,6
37,A,557,6
38,B,578,6
39,A,540,6
40,A,551,6
41,A,551,6
42,B,576,6
43,B,558,6
44,A,558,6
45,A,539,6
46,B,573,6
47,A,531,6
48,B,570,6
49,B,571,6
50,A,540,6
51,B,578,6
52,A,559,6
53,A,561,6
54,B,583,6
55,A,559,6
56,A,574,6
57,B,586,6
58,A,549,6
59,B,550,6
60,A,542,6
61,A,546,6
62,A,531,6
63,A,552,6
64,A,557,6
65,B,580,6
66,A,548,6
67,A,551,6
68,A,557,6
69,B,564,6
70,B,583,6
71,A,545,6
72,B,555,6
73,A,536,6
74,B,575,6
75,B,580,6
76,A,571,6
77,B,539,6
78,A,553,6
79,B,556,6
80,B,566,6
81,A,549,6
82,B,580,6
83,B,596,6
84,B,563,6
85,A,559,6
86,A,552,6
87,B,587,6
88,A,552,6
89,A,569,6
90,A,547,6
91,B,546,6
92,A,567,6
93,B,557,6
94,B,586,6
95,A,562,6
96,B,560,6
97,B,567,6
98,B,598,6
99,B,581,6
100,B,566,6
101,A,560,6
102,B,575,6
103,A,551,6
104,B,563,6
105,B,562,6
106,A,543,6
107,A,545,6
108,A,555,6
109,A,540,6
110,A,556,6
111,B,580,6
112,B,566,6
113,A,547,6
114,B,545,6
115,B,594,6
116,A,539,6
117,B,571,6
118,A,532,6
119,A,565,6
120,A,552,6
121,B,567,6
122,B,568,6
123,B,548,6
124,A,557,6
125,B,530,6
126,A,554,6
127,B,583,6
128,B,551,6
129,A,561,6
130,B,562,6
131,B,563,6
132,A,533,6
133,B,585,6
134,A,563,6
135,B,583,6
136,B,568,6
137,B,576,6
138,B,557,6
139,B,553,6
140,B,575,6
141,A,545,6
142,A,569,6
143,A,558,6
144,B,552,6
145,A,551,6
146,A,551,6
147,A,554,6
148,A,541,6
149,B,593,6
150,A,532,6
151,B,579,6
152,B,588,6
153,B,553,6
154,A,533,6
155,A,555,6
156,A,557,6
157,B,579,6
158,A,555,6
159,A,553,6
160,A,551,6
161,B,567,6
162,A,546,6
163,B,559,6
164,B,586,6
165,A,545,6
166,A,548,6
167,B,578,6
168,A,550,6
169,A,548,6
170,A,555,6
171,B,566,6
172,B,579,6
173,B,571,6
174,B,589,6
175,B,554,6
176,A,553,6
177,B,575,6
178,B,575,6
179,A,546,6
