subject,tutorial,completion_time,experiment
1,B,582,8
2,B,524,8
3,A,578,8
4,B,678,8
5,A,531,8
6,B,574,8
7,B,561,8
8,B,676,8
9,A,529,8
10,A,556,8
11,B,536,8
12,B,585,8
13,A,499,8
14,A,563,8
15,B,642,8
16,A,525,8
17,A,540,8
18,A,582,8
19,A,528,8
20,A,601,8
21,A,504,8
22,A,531,8
23,A,592,8
24,B,499,8
25,B,573,8
26,B,625,8
27,A,531,8
28,B,542,8
29,A,543,8
30,A,522,8
31,A,573,8
32,A,589,8
33,B,567,8
34,B,553,8
35,B,573,8
36,B,566,8
37,A,562,8
38,B,632,8
39,A,512,8
40,B,646,8
41,B,603,8
42,B,574,8
43,A,562,8
44,A,548,8
45,B,564,8
46,B,536,8
47,B,522,8
48,B,593,8
49,A,467,8
50,A,550,8
51,A,554,8
52,B,560,8
53,A,586,8
54,A,630,8
55,B,585,8
56,B,570,8
57,A,593,8
58,A,607,8
59,B,600,8
60,A,531,8
61,A,572,8
62,B,522,8
63,A,524,8
64,B,656,8
65,B,579,8
66,B,599,8
67,B,581,8
68,A,537,8
69,A,535,8
70,B,587,8
71,B,558,8
72,A,534,8
73,A,481,8
74,A,533,8
75,B,551,8
76,A,562,8
77,A,546,8
78,A,488,8
79,B,529,8
80,B,564,8
81,B,539,8
82,A,600,8
83,A,563,8
84,B,625,8
85,B,576,8
86,A,536,8
87,B,526,8
88,B,464,8
89,A,582,8
90,B,559,8
91,A,552,8
92,A,584,8
93,A,502,8
94,A,535,8
95,A,539,8
96,A,521,8
97,A,593,8
98,B,574,8
99,A,526,8
100,B,612,8
101,A,485,8
102,B,608,8
103,B,503,8
104,A,537,8
105,A,481,8
106,B,591,8
107,A,564,8
108,A,571,8
109,A,542,8
110,A,590,8
111,A,584,8
112,B,574,8
113,A,571,8
114,A,513,8
115,B,539,8
116,A,514,8
117,A,593,8
118,A,579,8
119,B,607,8
120,B,683,8
121,B,589,8
122,A,551,8
123,A,554,8
124,A,520,8
125,A,572,8
126,A,512,8
127,A,573,8
128,A,585,8
129,A,497,8
130,A,519,8
131,B,562,8
132,B,571,8
133,B,579,8
134,A,592,8
135,A,628,8
136,B,530,8
137,A,539,8
138,A,542,8
139,B,573,8
140,A,585,8
141,B,594,8
142,A,537,8
143,A,499,8
144,A,595,8
145,A,556,8
146,B,612,8
147,B,467,8
148,B,539,8
149,A,539,8
150,A,578,8
151,B,617,8
152,B,525,8
153,A,583,8
154,A,568,8
155,B,588,8
156,B,579,8
157,B,572,8
158,B,601,8
159,B,592,8
160,A,499,8
161,B,528,8
162,A,568,8
163,B,609,8
164,A,523,8
165,B,545,8
166,B,592,8
167,A,579,8
168,B,590,8
169,B,598,8
170,A,553,8
171,A,583,8
172,B,563,8
173,A,521,8
174,B,585,8
175,B,476,8
176,A,609,8
177,B,576,8
178,A,523,8
