subject,tutorial,completion_time,experiment
1,A,550,9
2,A,544,9
3,A,561,9
4,A,537,9
5,B,577,9
6,B,554,9
7,B,581,9
8,B,611,9
9,B,563,9
10,B,609,9
11,A,546,9
12,A,540,9
13,A,552,9
14,B,613,9
15,B,558,9
16,A,554,9
17,A,538,9
18,A,528,9
19,B,593,9
20,B,579,9
21,B,593,9
22,B,556,9
23,B,561,9
24,B,586,9
25,A,547,9
26,A,566,9
27,B,554,9
28,A,549,9
29,A,538,9
30,A,560,9
31,B,643,9
32,A,536,9
33,A,559,9
34,B,560,9
35,B,605,9
36,A,556,9
37,A,558,9
38,B,609,9
39,A,576,9
40,A,552,9
41,A,546,9
42,B,572,9
43,A,533,9
44,A,517,9
45,A,543,9
46,A,556,9
47,B,581,9
48,A,552,9
49,B,615,9
50,B,542,9
51,A,538,9
52,B,606,9
53,B,555,9
54,B,598,9
55,A,569,9
56,B,570,9
57,B,626,9
58,A,528,9
59,A,539,9
60,B,572,9
61,B,601,9
62,A,542,9
63,A,559,9
64,B,583,9
65,B,559,9
66,A,589,9
67,B,556,9
68,A,536,9
69,A,530,9
70,B,601,9
71,A,553,9
72,B,604,9
73,B,590,9
74,B,589,9
75,B,580,9
76,B,532,9
77,A,565,9
78,B,592,9
79,B,598,9
80,A,551,9
81,A,553,9
82,B,602,9
83,A,556,9
84,A,524,9
85,B,563,9
86,A,550,9
87,A,571,9
88,B,563,9
89,B,582,9
90,B,594,9
91,B,590,9
92,A,528,9
93,A,557,9
94,A,556,9
95,A,555,9
96,A,528,9
97,B,617,9
98,A,538,9
99,B,558,9
100,B,576,9
101,A,569,9
102,A,556,9
103,B,616,9
104,B,604,9
105,B,588,9
106,A,553,9
107,A,555,9
108,B,565,9
109,B,571,9
110,A,548,9
111,B,580,9
112,B,560,9
113,B,552,9
114,B,617,9
115,B,591,9
116,B,640,9
117,A,541,9
118,B,596,9
119,B,585,9
120,A,525,9
121,A,576,9
122,A,552,9
123,B,598,9
124,B,567,9
125,B,602,9
126,B,596,9
127,A,575,9
128,B,544,9
129,A,554,9
130,B,592,9
131,A,547,9
132,B,586,9
133,A,536,9
134,A,534,9
135,B,583,9
136,B,522,9
137,B,560,9
138,A,558,9
139,A,558,9
140,A,542,9
141,B,576,9
142,A,556,9
143,A,560,9
144,B,611,9
145,B,542,9
146,A,537,9
147,A,547,9
148,A,546,9
149,A,548,9
150,B,584,9
151,B,554,9
152,B,578,9
153,A,523,9
154,A,523,9
155,A,554,9
156,B,565,9
157,A,575,9
158,A,573,9
159,A,581,9
160,B,535,9
161,B,577,9
162,A,532,9
163,B,601,9
164,A,550,9
165,A,553,9
166,B,630,9
167,B,618,9
168,A,535,9
169,B,612,9
170,A,580,9
171,A,585,9
172,A,518,9
173,B,601,9
174,A,562,9
175,B,559,9
176,A,575,9
177,A,569,9
178,B,596,9
179,A,540,9
180,A,541,9
181,B,548,9
182,A,573,9
183,A,541,9
184,A,544,9
185,A,527,9
186,A,549,9
187,B,618,9
